Frame,A_x,A_y,A_Diameter,B_x,B_y,B_Diameter,C_x,C_y,C_Diameter,D_x,D_y,D_Diameter
240,968.0,304.0,22.0,860.0,328.0,26.0,678.0,476.0,44.0,1280.0,410.0,44.0
241,578.0,400.0,32.0,1208.0,508.0,42.0,1098.0,342.0,26.0,954.0,294.0,24.0
242,638.0,384.0,32.0,1142.0,478.0,40.0,1070.0,354.0,28.0,980.0,302.0,22.0
243,688.0,368.0,32.0,1084.0,456.0,38.0,1040.0,366.0,28.0,1010.0,312.0,22.0
244,732.0,356.0,28.0,1034.0,434.0,36.0,1008.0,382.0,30.0,1042.0,320.0,22.0
245,774.0,342.0,24.0,988.0,414.0,32.0,972.0,398.0,32.0,1076.0,330.0,26.0
246,812.0,332.0,26.0,948.0,398.0,32.0,930.0,414.0,32.0,1114.0,340.0,26.0
247,848.0,322.0,24.0,912.0,382.0,30.0,886.0,434.0,36.0,1156.0,352.0,28.0
248,880.0,312.0,24.0,880.0,366.0,32.0,836.0,454.0,40.0,1200.0,364.0,28.0
249,910.0,302.0,22.0,848.0,354.0,28.0,778.0,478.0,40.0,1246.0,374.0,38.0
250,938.0,294.0,24.0,822.0,340.0,30.0,710.0,508.0,42.0,1304.0,394.0,34.0
251,566.0,370.0,54.0,1166.0,548.0,48.0,1144.0,356.0,28.0,980.0,286.0,20.0
252,614.0,370.0,36.0,1098.0,516.0,40.0,1118.0,372.0,32.0,1008.0,292.0,22.0
253,664.0,352.0,28.0,1040.0,488.0,40.0,1088.0,384.0,32.0,1036.0,300.0,24.0
254,708.0,340.0,28.0,988.0,462.0,38.0,1054.0,402.0,32.0,1068.0,308.0,22.0
255,748.0,330.0,24.0,942.0,440.0,34.0,1018.0,420.0,32.0,1102.0,318.0,22.0
256,786.0,320.0,24.0,900.0,420.0,32.0,978.0,440.0,34.0,1140.0,326.0,26.0
257,820.0,310.0,24.0,864.0,402.0,32.0,932.0,462.0,38.0,1178.0,336.0,26.0
258,852.0,302.0,20.0,832.0,386.0,32.0,880.0,488.0,40.0,1220.0,350.0,24.0
259,882.0,292.0,22.0,802.0,370.0,30.0,820.0,516.0,44.0,1270.0,360.0,28.0
260,908.0,286.0,20.0,774.0,356.0,28.0,754.0,550.0,46.0,1320.0,370.0,36.0
261,546.0,358.0,44.0,1120.0,600.0,52.0,1194.0,376.0,26.0,1006.0,278.0,18.0
262,598.0,348.0,34.0,1048.0,560.0,48.0,1170.0,388.0,32.0,1032.0,284.0,20.0
263,644.0,336.0,32.0,986.0,524.0,44.0,1140.0,406.0,32.0,1060.0,290.0,20.0
